name,year,highest_degree_offered,offers_bachelors_degree,offers_masters_degree,offers_doctors_degree_research_scholarship,offers_doctors_degree_professional_practice,applicants_total,admissions_total,enrolled_total,estimated_enrollment_total,tuition_and_fees_2013_14,total_price_for_in_state_students_living_on_campus_2013_14,total_price_for_out_of_state_students_living_on_campus_2013_14,state_abbreviation,control_of_institution,total_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,graduate_enrollment,full_time_undergraduate_enrollment,part_time_undergraduate_enrollment,percent_of_total_enrollment_that_are_women,percent_of_undergraduate_enrollment_that_are_women,percent_of_graduate_enrollment_that_are_women,graduation_rate_bachelor_degree_within_4_years_total,graduation_rate_bachelor_degree_within_5_years_total,graduation_rate_bachelor_degree_within_6_years_total
Texas Wesleyan University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,3336.0,998.0,273.0,2614.0,22040.0,35454.0,35454.0,Texas,Private not-for-profit,2397.0,1904.0,493.0,1724.0,673.0,1429.0,295.0,54.0,51.0,63.0,15.0,36.0,41.0
Texas Woman's University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,4431.0,3812.0,1161.0,14763.0,7339.0,18259.0,28885.0,Texas,Public,15058.0,8428.0,6630.0,9515.0,5543.0,6722.0,2793.0,89.0,89.0,88.0,22.0,36.0,41.0
Trinity University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4505.0,2880.0,534.0,2350.0,34678.0,48630.0,48630.0,Texas,Private not-for-profit,2358.0,2259.0,99.0,2161.0,197.0,2111.0,50.0,54.0,52.0,68.0,72.0,81.0,82.0
Wayland Baptist University,2013,Master's degree,Yes,Yes,Implied no,Implied no,581.0,573.0,348.0,6222.0,12550.0,23410.0,23410.0,Texas,Private not-for-profit,6222.0,1235.0,4987.0,4515.0,1707.0,1143.0,3372.0,50.0,50.0,53.0,21.0,31.0,33.0
West Texas A & M University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4632.0,3429.0,1308.0,8376.0,6500.0,19154.0,19874.0,Texas,Public,8377.0,6025.0,2352.0,6906.0,1471.0,5523.0,1383.0,57.0,55.0,66.0,25.0,37.0,40.0
Wiley College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,1392.0,11382.0,21598.0,21598.0,Texas,Private not-for-profit,1392.0,1327.0,65.0,1388.0,4.0,1326.0,62.0,56.0,56.0,75.0,7.0,20.0,22.0
Brigham Young University-Provo,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,11423.0,5645.0,4427.0,31123.0,4850.0,17496.0,17496.0,Utah,Private not-for-profit,31123.0,27114.0,4009.0,27765.0,3358.0,25084.0,2681.0,45.0,46.0,40.0,31.0,55.0,78.0
Brigham Young University-Hawaii,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2664.0,960.0,516.0,2901.0,4770.0,16564.0,16564.0,Hawaii,Private not-for-profit,2882.0,2505.0,377.0,2882.0,,2505.0,377.0,56.0,56.0,,28.0,35.0,45.0
Dixie State University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,8407.0,4291.0,19743.0,27759.0,Utah,Public,8350.0,5165.0,3185.0,8350.0,,5165.0,3185.0,53.0,53.0,,8.0,11.0,18.0
Southern Utah University,2013,Master's degree,Yes,Yes,Implied no,Implied no,8318.0,4749.0,1272.0,7745.0,5924.0,19082.0,31060.0,Utah,Public,7745.0,5421.0,2324.0,7017.0,728.0,5254.0,1763.0,55.0,55.0,59.0,22.0,35.0,41.0
Stevens-Henager College-Ogden,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,474.0,16100.0,,,Utah,Private not-for-profit,320.0,320.0,,320.0,,320.0,,60.0,60.0,,100.0,100.0,100.0
Stevens-Henager College of Business-Provo,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,315.0,16972.0,,,Utah,Private not-for-profit,351.0,351.0,,351.0,,351.0,,54.0,54.0,,34.0,35.0,35.0
Utah State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,9052.0,8757.0,3824.0,27812.0,6030.0,17720.0,29240.0,Utah,Public,27812.0,16436.0,11376.0,24385.0,3427.0,15260.0,9125.0,54.0,54.0,56.0,25.0,39.0,51.0
Utah Valley University,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,30564.0,5086.0,,,Utah,Public,30564.0,15755.0,14809.0,30370.0,194.0,15751.0,14619.0,44.0,44.0,49.0,7.0,15.0,22.0
University of Utah,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,11354.0,9281.0,3124.0,32077.0,7457.0,21920.0,38199.0,Utah,Public,32077.0,23084.0,8993.0,24492.0,7585.0,17319.0,7173.0,45.0,45.0,44.0,24.0,49.0,60.0
Weber State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,25155.0,4990.0,19242.0,27563.0,Utah,Public,25155.0,11155.0,14000.0,24498.0,657.0,10879.0,13619.0,53.0,53.0,51.0,14.0,30.0,43.0
Westminster College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2461.0,1850.0,449.0,3108.0,29500.0,42108.0,42108.0,Utah,Private not-for-profit,3108.0,2680.0,428.0,2295.0,813.0,2140.0,155.0,54.0,55.0,53.0,43.0,55.0,57.0
Bennington College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1130.0,733.0,140.0,738.0,45080.0,61920.0,61920.0,Vermont,Private not-for-profit,738.0,720.0,18.0,619.0,119.0,609.0,10.0,67.0,65.0,82.0,58.0,67.0,67.0
Burlington College,2013,Master's degree,Yes,Yes,Implied no,Implied no,199.0,165.0,45.0,243.0,22885.0,35500.0,35500.0,Vermont,Private not-for-profit,243.0,164.0,79.0,220.0,23.0,160.0,60.0,50.0,48.0,70.0,,20.0,20.0
Castleton State College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2251.0,2072.0,480.0,2175.0,10286.0,21828.0,35556.0,Vermont,Public,2175.0,1877.0,298.0,2068.0,107.0,1854.0,214.0,53.0,52.0,70.0,34.0,49.0,51.0
Champlain College,2013,Master's degree,Yes,Yes,Implied no,Implied no,5047.0,3573.0,594.0,3279.0,31350.0,46850.0,46850.0,Vermont,Private not-for-profit,3305.0,2635.0,670.0,2898.0,407.0,2332.0,566.0,43.0,40.0,61.0,50.0,55.0,57.0
Goddard College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4.0,4.0,2.0,589.0,14930.0,17018.0,17018.0,Vermont,Private not-for-profit,592.0,582.0,10.0,209.0,383.0,206.0,3.0,69.0,65.0,72.0,29.0,29.0,29.0
Green Mountain College,2013,Master's degree,Yes,Yes,Implied no,Implied no,773.0,584.0,136.0,847.0,32192.0,45988.0,45988.0,Vermont,Private not-for-profit,840.0,819.0,21.0,590.0,250.0,569.0,21.0,58.0,55.0,66.0,31.0,39.0,41.0
Johnson State College,2013,Master's degree,Yes,Yes,Implied no,Implied no,864.0,837.0,225.0,1692.0,10286.0,21774.0,33438.0,Vermont,Public,1692.0,993.0,699.0,1486.0,206.0,956.0,530.0,66.0,64.0,79.0,17.0,34.0,37.0
Lyndon State College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1354.0,1345.0,365.0,1519.0,10286.0,21744.0,32400.0,Vermont,Public,1519.0,1259.0,260.0,1415.0,104.0,1257.0,158.0,47.0,44.0,88.0,18.0,31.0,34.0
Marlboro College,2013,Master's degree,Yes,Yes,Implied no,Implied no,232.0,176.0,47.0,271.0,38110.0,51590.0,51590.0,Vermont,Private not-for-profit,260.0,228.0,32.0,260.0,,228.0,32.0,49.0,49.0,,50.0,56.0,58.0
Middlebury College,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,8847.0,1518.0,598.0,2495.0,45314.0,59470.0,59470.0,Vermont,Private not-for-profit,2495.0,2477.0,18.0,2495.0,,2477.0,18.0,51.0,51.0,,87.0,93.0,94.0
Norwich University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3081.0,1956.0,599.0,3293.0,33371.0,49655.0,49655.0,Vermont,Private not-for-profit,3417.0,3126.0,291.0,2456.0,961.0,2228.0,228.0,29.0,28.0,32.0,51.0,56.0,57.0
Saint Michael's College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4431.0,3328.0,512.0,2366.0,39015.0,50920.0,50920.0,Vermont,Private not-for-profit,2378.0,2004.0,374.0,1998.0,380.0,1959.0,39.0,57.0,55.0,71.0,69.0,74.0,75.0
SIT Graduate Institute,2013,Master's degree,Implied no,Yes,Implied no,Implied no,,,,442.0,,,,Vermont,Private not-for-profit,443.0,184.0,259.0,,443.0,,,70.0,,70.0,,,
College of St Joseph,2013,Master's degree,Yes,Yes,Implied no,Implied no,183.0,125.0,33.0,271.0,21100.0,33700.0,33700.0,Vermont,Private not-for-profit,271.0,142.0,129.0,176.0,95.0,120.0,56.0,59.0,52.0,73.0,13.0,19.0,19.0
Southern Vermont College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,336.0,334.0,93.0,471.0,22000.0,35500.0,35500.0,Vermont,Private not-for-profit,480.0,453.0,27.0,480.0,,453.0,27.0,62.0,62.0,,28.0,28.0,28.0
Sterling College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,49.0,46.0,20.0,113.0,29894.0,41092.0,41092.0,Vermont,Private not-for-profit,116.0,104.0,12.0,116.0,,104.0,12.0,48.0,48.0,,28.0,31.0,31.0
Vermont Technical College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,568.0,469.0,194.0,1543.0,12494.0,24282.0,34794.0,Vermont,Public,1543.0,1049.0,494.0,1543.0,,1049.0,494.0,42.0,42.0,,29.0,36.0,38.0
University of Vermont,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,22381.0,17357.0,2495.0,12723.0,15718.0,28886.0,49814.0,Vermont,Public,12723.0,11001.0,1722.0,10912.0,1811.0,9764.0,1148.0,56.0,56.0,57.0,65.0,75.0,76.0
Averett University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2356.0,1491.0,241.0,908.0,27500.0,39124.0,39124.0,Virginia,Private not-for-profit,906.0,864.0,42.0,877.0,29.0,851.0,26.0,50.0,50.0,59.0,18.0,27.0,33.0
Bluefield College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1042.0,597.0,118.0,818.0,22390.0,35560.0,35560.0,Virginia,Private not-for-profit,842.0,726.0,116.0,837.0,5.0,723.0,114.0,55.0,55.0,80.0,38.0,44.0,45.0
Bridgewater College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,5401.0,2967.0,536.0,1848.0,29090.0,43310.0,43310.0,Virginia,Private not-for-profit,1848.0,1840.0,8.0,1848.0,,1840.0,8.0,55.0,55.0,,52.0,59.0,60.0
College of William and Mary,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,14046.0,4665.0,1479.0,8376.0,15463.0,28329.0,51306.0,Virginia,Public,8376.0,7850.0,526.0,6271.0,2105.0,6195.0,76.0,55.0,55.0,54.0,83.0,89.0,90.0
Regent University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,1238.0,1054.0,231.0,5643.0,15838.0,28368.0,28368.0,Virginia,Private not-for-profit,5693.0,2530.0,3163.0,2400.0,3293.0,1497.0,903.0,60.0,61.0,59.0,21.0,42.0,51.0
Christopher Newport University,2013,Master's degree,Yes,Yes,Implied no,Implied no,7016.0,4141.0,1276.0,5232.0,11092.0,25808.0,35708.0,Virginia,Public,5232.0,5066.0,166.0,5094.0,138.0,4962.0,132.0,57.0,57.0,67.0,50.0,64.0,66.0
Emory & Henry College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1663.0,1093.0,267.0,959.0,28966.0,41866.0,41866.0,Virginia,Private not-for-profit,959.0,894.0,65.0,936.0,23.0,889.0,47.0,49.0,48.0,74.0,33.0,47.0,48.0
Eastern Mennonite University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1073.0,698.0,232.0,1640.0,29350.0,41500.0,41500.0,Virginia,Private not-for-profit,1640.0,1252.0,388.0,1184.0,456.0,1122.0,62.0,65.0,65.0,66.0,50.0,61.0,63.0
Ferrum College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3272.0,2425.0,569.0,1479.0,28585.0,40627.0,40627.0,Virginia,Private not-for-profit,1512.0,1492.0,20.0,1512.0,,1492.0,20.0,43.0,43.0,,20.0,32.0,32.0
George Mason University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,20805.0,12905.0,3011.0,33917.0,9908.0,25335.0,44019.0,Virginia,Public,33917.0,21421.0,12496.0,21990.0,11927.0,17261.0,4729.0,54.0,52.0,59.0,43.0,61.0,67.0
Hampden-Sydney College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2623.0,1439.0,293.0,1069.0,37352.0,51577.0,51577.0,Virginia,Private not-for-profit,1070.0,1068.0,2.0,1070.0,,1068.0,2.0,,,,60.0,62.0,62.0
Hampton University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,15337.0,5529.0,1004.0,4622.0,20724.0,33854.0,33854.0,Virginia,Private not-for-profit,4622.0,4116.0,506.0,3742.0,880.0,3491.0,251.0,64.0,64.0,67.0,50.0,64.0,68.0
Hollins University,2013,Master's degree,Yes,Yes,Implied no,Implied no,824.0,571.0,148.0,750.0,33320.0,48180.0,48180.0,Virginia,Private not-for-profit,750.0,616.0,134.0,580.0,170.0,561.0,19.0,95.0,99.0,80.0,56.0,59.0,60.0
James Madison University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,22648.0,14394.0,4325.0,20184.0,9176.0,22740.0,37218.0,Virginia,Public,20181.0,18626.0,1555.0,18431.0,1750.0,17526.0,905.0,60.0,59.0,69.0,65.0,80.0,81.0
Liberty University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,48054.0,10405.0,4690.0,79576.0,20768.0,33544.0,33544.0,Virginia,Private not-for-profit,77338.0,36353.0,40985.0,47464.0,29874.0,25911.0,21553.0,59.0,59.0,60.0,27.0,43.0,50.0
Longwood University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4055.0,3299.0,1111.0,4965.0,11340.0,23724.0,36594.0,Virginia,Public,4960.0,4265.0,695.0,4497.0,463.0,4123.0,374.0,68.0,66.0,88.0,42.0,62.0,63.0
Lynchburg College,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5695.0,3627.0,512.0,2713.0,33565.0,44695.0,44695.0,Virginia,Private not-for-profit,2713.0,2335.0,378.0,2178.0,535.0,2089.0,89.0,61.0,60.0,64.0,46.0,54.0,56.0
Mary Baldwin College,2013,Master's degree,Yes,Yes,Implied no,Implied no,3089.0,2729.0,218.0,1716.0,28720.0,40420.0,40420.0,Virginia,Private not-for-profit,1711.0,1149.0,562.0,1441.0,270.0,1037.0,404.0,92.0,94.0,86.0,39.0,39.0,39.0
University of Mary Washington,2013,Master's degree,Yes,Yes,Implied no,Implied no,4496.0,3640.0,947.0,4726.0,9720.0,24076.0,36946.0,Virginia,Public,4831.0,3989.0,842.0,4383.0,448.0,3843.0,540.0,65.0,64.0,69.0,66.0,73.0,74.0
Marymount University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,2082.0,1718.0,400.0,3482.0,26430.0,41160.0,41160.0,Virginia,Private not-for-profit,3486.0,2682.0,804.0,2396.0,1090.0,2141.0,255.0,70.0,68.0,76.0,44.0,56.0,58.0
Norfolk State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3373.0,2192.0,829.0,6729.0,7126.0,20536.0,34006.0,Virginia,Public,6728.0,5428.0,1300.0,6021.0,707.0,4979.0,1042.0,65.0,64.0,71.0,21.0,33.0,37.0
Old Dominion University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,10201.0,7833.0,2943.0,24828.0,8550.0,22267.0,37927.0,Virginia,Public,24828.0,16957.0,7871.0,19819.0,5009.0,15102.0,4717.0,55.0,54.0,58.0,23.0,45.0,51.0
Radford University,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,7774.0,6088.0,1986.0,9928.0,8976.0,20700.0,32865.0,Virginia,Public,9928.0,9166.0,762.0,8913.0,1015.0,8545.0,368.0,58.0,56.0,74.0,41.0,56.0,59.0
Randolph-Macon College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2997.0,1909.0,382.0,1315.0,34850.0,47740.0,47740.0,Virginia,Private not-for-profit,1315.0,1295.0,20.0,1315.0,,1295.0,20.0,53.0,53.0,,57.0,62.0,62.0
Randolph College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1056.0,881.0,216.0,682.0,32850.0,46060.0,46060.0,Virginia,Private not-for-profit,682.0,663.0,19.0,665.0,17.0,649.0,16.0,64.0,64.0,71.0,46.0,51.0,52.0
University of Richmond,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,9825.0,3061.0,805.0,4140.0,45320.0,57630.0,57630.0,Virginia,Private not-for-profit,4140.0,3554.0,586.0,3215.0,925.0,3010.0,205.0,54.0,53.0,58.0,82.0,85.0,85.0
Roanoke College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4167.0,3034.0,542.0,2029.0,36597.0,51371.0,51371.0,Virginia,Private not-for-profit,2029.0,1964.0,65.0,2029.0,,1964.0,65.0,59.0,59.0,,58.0,63.0,64.0
Shenandoah University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,1833.0,1550.0,459.0,4030.0,29934.0,43598.0,43598.0,Virginia,Private not-for-profit,4003.0,2683.0,1320.0,2150.0,1853.0,1791.0,359.0,66.0,61.0,71.0,34.0,42.0,45.0
Southern Virginia University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,763.0,762.0,226.0,662.0,18900.0,30300.0,30300.0,Virginia,Private not-for-profit,662.0,636.0,26.0,662.0,,636.0,26.0,53.0,53.0,,28.0,33.0,33.0
Sweet Briar College,2013,Master's degree,Yes,Yes,Implied no,Implied no,905.0,763.0,197.0,710.0,33605.0,49105.0,49105.0,Virginia,Private not-for-profit,710.0,687.0,23.0,703.0,7.0,680.0,23.0,98.0,98.0,100.0,54.0,57.0,57.0
The University of Virginia's College at Wise,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,972.0,724.0,335.0,2291.0,8509.0,21567.0,36623.0,Virginia,Public,2291.0,1471.0,820.0,2291.0,,1471.0,820.0,58.0,58.0,,24.0,38.0,42.0
Virginia Intermont College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,226.0,218.0,45.0,373.0,24642.0,39891.0,39891.0,Virginia,Private not-for-profit,378.0,333.0,45.0,378.0,,333.0,45.0,66.0,66.0,,32.0,44.0,46.0
Virginia Polytechnic Institute and State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,19112.0,13432.0,5364.0,31205.0,11455.0,26165.0,41921.0,Virginia,Public,31205.0,28425.0,2780.0,24034.0,7171.0,23512.0,522.0,42.0,41.0,44.0,61.0,80.0,83.0
Virginia Commonwealth University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,14156.0,9786.0,3525.0,30977.0,12002.0,28297.0,45768.0,Virginia,Public,30974.0,24803.0,6171.0,23356.0,7618.0,19746.0,3610.0,58.0,57.0,61.0,30.0,51.0,57.0
University of Virginia-Main Campus,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,28984.0,8691.0,3520.0,23826.0,12668.0,26075.0,53461.0,Virginia,Public,23464.0,21086.0,2378.0,16087.0,7377.0,15089.0,998.0,54.0,56.0,51.0,86.0,92.0,93.0
Virginia Military Institute,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2012.0,952.0,502.0,1675.0,14404.0,25642.0,46630.0,Virginia,Public,1675.0,1675.0,,1675.0,,1675.0,,11.0,11.0,,59.0,74.0,76.0
Virginia State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,5729.0,5419.0,1244.0,5763.0,7784.0,20767.0,30175.0,Virginia,Public,5763.0,5164.0,599.0,5073.0,690.0,4817.0,256.0,60.0,60.0,59.0,25.0,42.0,46.0
Virginia Union University,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,4306.0,2518.0,404.0,1718.0,15130.0,27932.0,27932.0,Virginia,Private not-for-profit,1749.0,1700.0,49.0,1359.0,390.0,1329.0,30.0,54.0,55.0,50.0,22.0,34.0,35.0
Virginia Wesleyan College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3788.0,3527.0,453.0,1459.0,32482.0,44190.0,44190.0,Virginia,Private not-for-profit,1459.0,1349.0,110.0,1459.0,,1349.0,110.0,61.0,61.0,,37.0,44.0,44.0
Washington and Lee University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,6222.0,1147.0,480.0,2269.0,44507.0,58575.0,58575.0,Virginia,Private not-for-profit,2277.0,2273.0,4.0,1855.0,422.0,1851.0,4.0,49.0,50.0,48.0,86.0,89.0,90.0
Central Washington University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4507.0,3703.0,1502.0,10737.0,8976.0,22785.0,34695.0,Washington,Public,11287.0,9458.0,1829.0,10423.0,864.0,8996.0,1427.0,51.0,50.0,55.0,43.0,50.0,51.0
City University of Seattle,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,,,,2175.0,14880.0,,,Washington,Private not-for-profit,2368.0,1367.0,1001.0,1272.0,1096.0,638.0,634.0,56.0,53.0,60.0,,,
Eastern Washington University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,5204.0,4146.0,1579.0,12791.0,7961.0,21626.0,33277.0,Washington,Public,12791.0,10544.0,2247.0,11678.0,1113.0,9715.0,1963.0,55.0,54.0,67.0,19.0,38.0,45.0
The Evergreen State College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1583.0,1537.0,509.0,4398.0,8574.0,22641.0,34728.0,Washington,Public,4398.0,3955.0,443.0,4087.0,311.0,3766.0,321.0,54.0,53.0,67.0,43.0,53.0,57.0
Gonzaga University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,6991.0,4650.0,1096.0,7609.0,35062.0,48530.0,48530.0,Washington,Private not-for-profit,7605.0,5490.0,2115.0,4896.0,2709.0,4826.0,70.0,57.0,54.0,61.0,71.0,81.0,82.0
Heritage University,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,1044.0,17744.0,,,Washington,Private not-for-profit,1128.0,719.0,409.0,876.0,252.0,651.0,225.0,75.0,77.0,68.0,3.0,7.0,15.0
Trinity Lutheran College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,282.0,270.0,57.0,199.0,27042.0,38142.0,38142.0,Washington,Private not-for-profit,194.0,182.0,12.0,194.0,,182.0,12.0,53.0,53.0,,79.0,86.0,86.0
Northwest University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,465.0,452.0,218.0,1826.0,25934.0,36174.0,36174.0,Washington,Private not-for-profit,1733.0,1436.0,297.0,1438.0,295.0,1221.0,217.0,59.0,59.0,63.0,37.0,43.0,43.0
Pacific Lutheran University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3443.0,2643.0,648.0,2723.0,34740.0,48308.0,48308.0,Washington,Private not-for-profit,3462.0,3201.0,261.0,3142.0,320.0,3010.0,132.0,62.0,62.0,68.0,55.0,68.0,70.0
University of Puget Sound,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,4588.0,3910.0,670.0,2812.0,41868.0,55948.0,55948.0,Washington,Private not-for-profit,2812.0,2756.0,56.0,2544.0,268.0,2522.0,22.0,59.0,57.0,76.0,68.0,77.0,78.0
Saint Martin's University,2013,Master's degree,Yes,Yes,Implied no,Implied no,653.0,572.0,159.0,1706.0,30284.0,44038.0,44038.0,Washington,Private not-for-profit,1787.0,1193.0,594.0,1428.0,359.0,1111.0,317.0,53.0,51.0,62.0,35.0,47.0,48.0
Seattle Pacific University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,5165.0,3726.0,767.0,4270.0,33813.0,47674.0,47674.0,Washington,Private not-for-profit,4270.0,3609.0,661.0,3366.0,904.0,3230.0,136.0,67.0,66.0,69.0,54.0,66.0,69.0
Seattle University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,7160.0,5243.0,976.0,7422.0,36465.0,52605.0,52605.0,Washington,Private not-for-profit,7422.0,5780.0,1642.0,4608.0,2814.0,4377.0,231.0,59.0,58.0,59.0,59.0,74.0,77.0
Walla Walla University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1051.0,976.0,393.0,1920.0,25377.0,35670.0,35670.0,Washington,Private not-for-profit,1917.0,1802.0,115.0,1686.0,231.0,1592.0,94.0,54.0,50.0,77.0,17.0,36.0,44.0
Washington State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,14887.0,12219.0,4163.0,27642.0,12327.0,27697.0,40779.0,Washington,Public,27642.0,23604.0,4038.0,23070.0,4572.0,20312.0,2758.0,51.0,51.0,51.0,40.0,62.0,65.0
University of Washington-Seattle Campus,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,30199.0,16679.0,6253.0,44158.0,12397.0,27034.0,46608.0,Washington,Public,43762.0,38327.0,5435.0,29756.0,14006.0,27050.0,2706.0,52.0,52.0,52.0,57.0,78.0,82.0
Western Washington University,2013,Master's degree,Yes,Yes,Implied no,Implied no,9526.0,7974.0,2795.0,14950.0,8863.0,22671.0,33560.0,Washington,Public,14950.0,13457.0,1493.0,14026.0,924.0,12942.0,1084.0,56.0,55.0,63.0,38.0,64.0,69.0
Whitman College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2586.0,1473.0,392.0,1541.0,43500.0,56600.0,56600.0,Washington,Private not-for-profit,1541.0,1505.0,36.0,1541.0,,1505.0,36.0,57.0,57.0,,80.0,88.0,88.0
Whitworth University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4044.0,2609.0,593.0,2568.0,36012.0,48055.0,48055.0,Washington,Private not-for-profit,2569.0,2373.0,196.0,2358.0,211.0,2317.0,41.0,61.0,60.0,63.0,65.0,73.0,74.0
Alderson Broaddus University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4892.0,2114.0,438.0,1117.0,22740.0,33296.0,33296.0,West Virginia,Private not-for-profit,1117.0,1060.0,57.0,1052.0,65.0,995.0,57.0,49.0,48.0,66.0,35.0,42.0,45.0
Bethany College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1736.0,859.0,185.0,726.0,25736.0,39082.0,39082.0,West Virginia,Private not-for-profit,726.0,718.0,8.0,693.0,33.0,690.0,3.0,44.0,44.0,52.0,39.0,45.0,48.0
Bluefield State College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1125.0,480.0,306.0,1935.0,5564.0,,,West Virginia,Public,1747.0,1440.0,307.0,1747.0,,1440.0,307.0,62.0,62.0,,6.0,13.0,18.0
University of Charleston,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,1312.0,906.0,272.0,1935.0,19650.0,32850.0,32850.0,West Virginia,Private not-for-profit,1935.0,1788.0,147.0,1386.0,549.0,1250.0,136.0,56.0,58.0,49.0,35.0,41.0,46.0
Concord University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2698.0,1233.0,529.0,2736.0,6160.0,17720.0,25050.0,West Virginia,Public,2767.0,2339.0,428.0,2505.0,262.0,2275.0,230.0,59.0,57.0,82.0,19.0,32.0,36.0
